cloudiness,country,date,humidity,latitude,longitude,max_temp,wind_speed
92,RU,1553563971,97,97,66.02,274.787,4.86
80,NZ,1553563971,97,97,169.85,291.237,4.91
48,CF,1553563971,96,96,16.05,293.687,1.01
75,IT,1553563924,75,75,10.79,282.15,10.3
0,MN,1553563972,48,48,107.54,274.537,7.46
0,GR,1553563409,86,86,22.34,284.82,2.1
64,TC,1553563746,100,100,-71.14,297.238,7.71
20,CA,1553562000,35,35,-91.92,271.15,1.0
8,NZ,1553563973,67,67,173.16,296.587,7.01
92,FO,1553561400,100,100,-6.59,280.15,6.2
68,GL,1553561400,62,62,-46.05,268.15,3.6
48,BR,1553563974,96,96,-55.99,297.687,1.01
0,ES,1553563853,61,61,-7.54,284.82,4.6
0,TR,1553563975,66,66,33.44,268.487,1.06
75,JP,1553563957,53,53,139.53,285.93,1.5
80,PG,1553563975,100,100,152.27,299.637,2.96
0,SN,1553562000,77,77,-16.54,292.15,4.1
64,RU,1553563976,85,85,44.24,268.987,1.11
0,GB,1553563941,99,99,-4.21,280.37,1.0
24,PH,1553563976,77,77,123.58,301.537,5.91
92,BR,1553563977,97,97,-45.5,295.687,1.26
40,JP,1553563347,56,56,127.67,293.15,8.2
80,BR,1553563977,68,68,-55.79,288.137,4.46
56,RU,1553563977,78,78,60.29,272.787,4.11
40,IE,1553563925,80,80,-7.19,278.15,0.5
76,NA,1553563978,78,78,17.46,290.187,1.76
44,RU,1553563978,25,25,118.0,268.137,2.56
0,NA,1553563978,55,55,17.16,285.937,1.21
8,ID,1553563680,97,97,111.62,297.438,1.71
0,PA,1553563979,86,86,-80.03,298.487,7.91
8,ET,1553563979,72,72,34.53,290.687,0.91
0,FR,1553562956,66,66,3.91,277.15,5.7
75,JP,1553563210,93,93,140.93,277.59,6.2
1,US,1553563825,34,34,-111.68,282.15,2.6
20,NO,1553563980,100,100,29.09,269.837,5.31
32,HT,1553563517,85,85,-73.39,297.59,3.81
8,VN,1553563981,55,55,108.0,300.037,1.86
0,MX,1553563981,94,94,-96.65,292.237,1.21
75,MX,1553563816,35,35,-107.7,303.15,5.7
75,JP,1553562000,81,81,135.99,283.15,4.1
0,CN,1553563814,75,75,100.46,280.587,3.11
76,SO,1553563982,96,96,45.34,301.687,5.46
36,ET,1553563982,84,84,37.37,292.237,1.01
32,RU,1553563983,68,68,93.04,271.987,1.46
20,PT,1553563972,82,82,-25.67,287.15,5.7
75,AU,1553563936,44,44,147.26,288.15,4.6
12,PE,1553563983,95,95,-69.49,297.087,1.11
0,RU,1553563984,95,95,90.42,270.487,1.56
75,OM,1553561400,74,74,54.1,299.15,4.1
100,BR,1553563984,100,100,-43.46,299.137,2.31
44,PH,1553563985,99,99,120.56,300.987,5.16
75,AU,1553563927,70,70,131.05,307.04,5.1
0,IN,1553563986,72,72,74.13,299.087,1.06
0,PT,1553563817,26,26,-8.72,290.15,6.7
48,NO,1553563987,100,100,12.69,275.637,3.51
36,AR,1553563866,60,60,-60.7,291.48,2.24
48,BO,1553563988,93,93,-67.34,297.187,1.01
12,PH,1553563836,95,95,122.68,301.087,7.01
20,VE,1553562000,64,64,-69.32,297.15,2.6
40,CA,1553562000,36,36,-122.69,282.15,2.1
40,US,1553563828,45,45,-121.92,291.48,6.7
0,BW,1553563989,63,63,27.46,292.037,2.31
5,MX,1553561040,78,78,-99.88,300.15,2.6
8,CN,1553563792,96,96,122.97,278.71,0.89
20,PT,1553563852,93,93,-27.07,287.15,5.16
20,BR,1553563991,100,100,-39.27,301.287,4.31
92,RO,1553563991,73,73,23.52,278.387,1.86
64,RU,1553563991,84,84,39.8,270.737,5.11
56,CN,1553563992,89,89,88.52,264.087,1.41
0,KZ,1553563992,87,87,79.91,279.837,1.76
0,NA,1553563992,82,82,15.16,288.387,6.86
75,JP,1553563476,93,93,140.83,285.93,3.1
92,ZA,1553563993,100,100,30.45,293.287,8.46
75,DE,1553563972,75,75,7.28,279.26,3.6
88,RU,1553563993,67,67,166.44,260.087,3.76
80,MR,1553562000,82,82,-17.03,292.15,4.1
76,DZ,1553558400,33,33,-0.29,297.15,6.7
20,ID,1553563800,74,74,116.27,303.15,1.0
8,TZ,1553563995,100,100,39.77,300.137,1.96
0,PH,1553563995,49,49,120.52,303.037,1.76
